"Date","Price","Open","High","Low","Vol.","Change %"
"11/23/2022","338.75","339.31","341.93","337.98","62.98M","-0.35%"
"11/22/2022","339.95","339.13","340.15","337.62","161.45M","0.52%"
"11/21/2022","338.20","335.20","338.57","334.40","141.66M","0.62%"
"11/18/2022","336.12","336.49","337.34","332.83","182.39M","1.19%"
"11/17/2022","332.17","330.80","332.95","329.32","145.20M","-0.76%"
"11/16/2022","334.72","336.76","338.20","334.11","163.09M","-0.90%"
"11/15/2022","337.77","338.46","339.91","334.25","201.07M","1.10%"
"11/14/2022","334.08","340.88","340.99","334.07","187.85M","-2.51%"
"11/11/2022","342.68","344.04","346.36","341.70","221.94M","-0.14%"
"11/10/2022","343.16","329.11","343.72","329.11","303.76M","7.37%"
"11/09/2022","319.60","322.06","325.55","319.11","185.21M","-1.00%"
"11/08/2022","322.84","322.15","326.10","320.85","225.54M","0.46%"
"11/07/2022","321.36","323.04","324.43","319.46","195.19M","0.03%"
"11/04/2022","321.26","319.20","323.10","315.18","238.10M","1.33%"
"11/03/2022","317.04","314.99","319.45","311.32","215.78M","-0.08%"
"11/02/2022","317.28","324.33","327.84","316.80","246.77M","-2.66%"
"11/01/2022","325.94","329.80","330.64","325.29","183.02M","-0.16%"
"10/31/2022","326.46","323.67","328.23","323.55","210.84M","-0.19%"
"10/28/2022","327.09","318.48","327.85","317.79","191.47M","2.30%"
"10/27/2022","319.75","321.40","323.44","318.78","230.50M","0.15%"
"10/26/2022","319.27","319.19","322.12","317.41","221.88M","0.14%"
"10/25/2022","318.82","308.35","319.27","308.14","252.67M","4.00%"
"10/24/2022","306.57","309.42","310.22","304.43","188.56M","-0.08%"
"10/21/2022","306.81","305.13","306.87","300.53","227.77M","0.67%"
"10/20/2022","304.78","306.13","309.52","303.96","168.85M","-0.43%"
"10/19/2022","306.09","310.32","311.70","304.48","180.39M","-2.53%"
"10/18/2022","314.03","315.10","318.28","311.28","194.66M","1.15%"
"10/17/2022","310.47","305.09","311.66","304.69","207.28M","3.66%"
"10/14/2022","299.51","310.98","311.64","299.26","203.04M","-2.51%"
"10/13/2022","307.22","296.14","308.71","294.40","240.08M","1.67%"
"10/12/2022","302.18","304.86","305.12","300.62","208.54M","-1.19%"
"10/11/2022","305.83","302.66","307.81","299.01","260.72M","1.12%"
"10/10/2022","302.43","306.86","308.52","302.06","208.79M","-1.10%"
"10/07/2022","305.79","310.28","311.57","303.89","243.63M","-2.47%"
"10/06/2022","313.54","322.38","322.84","312.95","226.82M","-2.83%"
"10/05/2022","322.67","324.39","325.07","317.53","220.73M","-1.94%"
"10/04/2022","329.07","325.33","331.46","325.33","239.79M","1.95%"
"10/03/2022","322.78","321.22","324.63","316.61","233.80M","1.82%"
"09/30/2022","317.01","316.65","319.51","314.90","317.81M","0.94%"
"09/29/2022","314.05","320.26","320.41","312.15","257.45M","-3.12%"
"09/28/2022","324.15","320.97","325.30","317.76","261.78M","1.96%"
"09/27/2022","317.92","325.14","327.11","317.09","239.28M","-1.33%"
"09/26/2022","322.20","329.32","329.32","319.16","267.48M","-2.77%"
"09/23/2022","331.37","332.51","333.97","327.79","258.75M","-1.32%"
"09/22/2022","335.80","338.00","338.11","334.59","231.42M","-0.99%"
"09/21/2022","339.16","346.85","349.07","339.16","221.55M","-1.53%"
"09/20/2022","344.44","349.71","349.71","342.91","221.39M","-2.46%"
